Year,Month,Day,Specific Humidity,Relative Humidity,Temperature,Precipitation,sequenceId,itemPosition
2017,11,1,11.96,67.12,15.95,0.94,1.0,214
2017,12,1,11.11,66.62,16.84,47.28,1.0,215
2018,1,1,9.03,54.31,21.09,2.07,1.0,216
2018,2,1,8.48,44.69,24.09,6.42,1.0,217
2018,3,1,9.64,42.81,23.45,1.48,1.0,218
2018,4,1,12.88,51.31,20.49,1.03,1.0,219
2018,5,1,16.05,59.19,16.92,5.22,1.0,220
2018,6,1,20.02,81.81,13.05,540.89,1.0,221
2018,7,1,19.71,91.0,5.98,969.61,1.0,222
2018,8,1,18.8,89.94,5.61,423.43,1.0,223
2018,9,1,17.88,85.44,12.2,99.12,1.0,224
2018,10,1,15.2,69.38,17.13,21.6,1.0,225
2018,11,1,11.84,58.75,17.18,6.6,1.0,226
2018,12,1,7.93,46.25,21.98,0.19,1.0,227
2019,1,1,5.74,34.69,23.41,0.28,1.0,228
2019,2,1,7.45,40.44,27.1,0.27,1.0,229
2019,3,1,9.16,44.19,26.17,0.66,1.0,230
2019,4,1,13.06,52.88,24.02,3.68,1.0,231
2019,5,1,15.26,58.19,18.42,0.43,1.0,232
2019,6,1,19.04,73.56,13.71,454.13,1.0,233
2019,7,1,20.45,90.81,6.38,1083.3,1.0,234
2019,8,1,19.59,90.75,6.16,666.94,1.0,235
2019,9,1,19.78,91.38,6.7,928.89,1.0,236
2019,10,1,18.13,84.44,11.93,192.61,1.0,237
2019,11,1,15.62,78.5,13.65,53.27,1.0,238
2019,12,1,14.1,76.81,17.22,2.85,1.0,239
2020,1,1,10.62,67.56,22.98,0.17,1.0,240
2020,2,1,9.28,49.88,24.97,0.19,1.0,241
2020,3,1,10.5,49.38,24.87,4.09,1.0,242
2020,4,1,13.31,51.19,22.09,5.46,1.0,243
2020,5,1,16.17,57.25,16.63,8.29,1.0,244
2020,6,1,19.78,83.0,11.76,462.71,1.0,245
2020,7,1,20.26,90.19,7.08,781.13,1.0,246
2020,8,1,20.08,92.31,5.34,1203.09,1.0,247
2020,9,1,19.71,90.12,9.22,361.3,1.0,248
2020,10,1,18.43,82.69,12.62,180.18,1.0,249
2020,11,1,14.83,76.06,16.95,0.49,1.0,250
2020,12,1,12.21,69.38,17.77,12.23,1.0,251
